
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2025-10-01 23:38:41 ............................................................................... ~ 0s
  2025-10-01 23:39:01 ............................................................................... ~ 0s
  2025-10-01 23:39:01 ............................................................................... ~ 3s
  2025-10-01 23:39:25 ............................................................................... ~ 0s
  2025-10-01 23:39:42 ............................................................................... ~ 0s
  2025-10-01 23:39:42 ............................................................................... ~ 2s
  2025-10-01 23:39:55 ............................................................................... ~ 0s
  2025-10-01 23:40:03 ............................................................................... ~ 0s
  2025-10-01 23:40:03 ............................................................................... ~ 1s
  2025-10-01 23:40:21 ............................................................................... ~ 0s
  2025-10-01 23:40:21 ............................................................................... ~ 0s
  2025-10-01 23:40:56 ............................................................................... ~ 1s
  2025-10-01 23:40:56 ............................................................................... ~ 1s
  2025-10-01 23:40:57 ............................................................................... ~ 0s
  2025-10-01 23:42:38 ............................................................................... ~ 0s
  2025-10-01 23:43:03 ............................................................................... ~ 0s
  2025-10-01 23:43:03 ............................................................................... ~ 0s
  2025-10-01 23:43:13 ............................................................................... ~ 1s
  2025-10-01 23:43:13 ............................................................................... ~ 1s
  2025-10-01 23:44:19 ............................................................................... ~ 0s
  2025-10-01 23:44:44 ............................................................................... ~ 0s
  2025-10-01 23:44:44 ............................................................................... ~ 5s
  2025-10-01 23:44:56 ............................................................................... ~ 0s
  2025-10-01 23:44:56 ............................................................................... ~ 3s
  2025-10-01 23:45:00 ............................................................................... ~ 0s
  2025-10-01 23:45:00 ............................................................................... ~ 2s
  2025-10-01 23:45:02 ............................................................................... ~ 2s
  2025-10-01 23:45:07 ............................................................................... ~ 0s
  2025-10-01 23:45:07 ............................................................................... ~ 2s
  2025-10-01 23:45:10 ............................................................................... ~ 0s
  2025-10-01 23:45:10 ............................................................................... ~ 0s
  2025-10-01 23:45:13 ............................................................................... ~ 0s
  2025-10-01 23:45:13 ............................................................................... ~ 1s
  2025-10-01 23:45:20 ............................................................................... ~ 0s
  2025-10-01 23:45:20 ............................................................................... ~ 0s
  2025-10-01 23:47:18 ............................................................................... ~ 0s
  2025-10-01 23:47:18 ............................................................................... ~ 0s
  2025-10-01 23:47:34 ............................................................................... ~ 0s
  2025-10-01 23:47:34 ............................................................................... ~ 0s
  2025-10-01 23:47:49 ............................................................................... ~ 1s
  2025-10-01 23:47:50 ............................................................................... ~ 0s
  2025-10-01 23:48:55 ............................................................................... ~ 0s
  2025-10-01 23:49:15 ............................................................................... ~ 0s
  2025-10-01 23:49:15 ............................................................................... ~ 0s
  2025-10-01 23:49:18 ............................................................................... ~ 0s
  2025-10-01 23:49:18 ............................................................................... ~ 0s
  2025-10-01 23:49:20 ............................................................................... ~ 0s
  2025-10-01 23:49:20 ............................................................................... ~ 0s
  2025-10-01 23:49:57 ............................................................................... ~ 0s
  2025-10-01 23:49:57 ............................................................................... ~ 0s
  2025-10-01 23:50:04 ............................................................................... ~ 0s
  2025-10-01 23:50:04 ............................................................................... ~ 1s
  2025-10-01 23:50:09 ............................................................................... ~ 0s
  2025-10-01 23:50:09 ............................................................................... ~ 1s
  2025-10-01 23:50:10 ............................................................................... ~ 0s
  2025-10-01 23:50:13 ............................................................................... ~ 0s
  2025-10-01 23:50:13 ............................................................................... ~ 2s
  2025-10-01 23:50:18 ............................................................................... ~ 0s
  2025-10-01 23:50:18 ............................................................................... ~ 2s
  2025-10-01 23:50:23 ............................................................................... ~ 0s
  2025-10-01 23:50:23 ............................................................................... ~ 2s
  2025-10-01 23:50:27 ............................................................................... ~ 0s
  2025-10-01 23:50:27 ............................................................................... ~ 1s
  2025-10-01 23:53:14 ............................................................................... ~ 0s
  2025-10-01 23:53:14 ............................................................................... ~ 1s
  2025-10-01 23:53:19 ............................................................................... ~ 0s
  2025-10-01 23:53:19 ............................................................................... ~ 1s
  2025-10-01 23:53:21 ............................................................................... ~ 0s
  2025-10-01 23:53:21 ............................................................................... ~ 4s
  2025-10-01 23:53:32 ............................................................................... ~ 1s
  2025-10-01 23:53:33 ............................................................................... ~ 0s
  2025-10-01 23:53:36 ............................................................................... ~ 1s
  2025-10-01 23:53:37 ............................................................................... ~ 3s
  2025-10-01 23:53:42 ............................................................................... ~ 0s
  2025-10-01 23:53:42 ............................................................................... ~ 3s
  2025-10-01 23:53:47 ............................................................................... ~ 0s
  2025-10-01 23:53:47 ............................................................................... ~ 3s
  2025-10-01 23:54:03 ............................................................................... ~ 0s
  2025-10-01 23:54:03 ............................................................................... ~ 2s
  2025-10-01 23:54:05 ............................................................................... ~ 0s
  2025-10-01 23:54:06 ............................................................................... ~ 0s
  2025-10-01 23:54:06 ............................................................................... ~ 2s
  2025-10-01 23:54:08 ............................................................................... ~ 2s
  2025-10-01 23:54:15 ............................................................................... ~ 0s
  2025-10-01 23:54:15 ............................................................................... ~ 0s
